dataset,dataset_purity,dataset_chance,modality_purity,modality_chance,representation
BrainMetShare,0.8486666666666667,0.07199424046076314,0.57,0.33393328533717304,3dino_rand
EPISURG,0.6729999999999999,0.07199424046076314,0.8533333333333334,0.5113990880729542,3dino_rand
ISLES22,0.5808000000000001,0.059995200383969285,0.7372000000000001,0.2056635469162467,3dino_rand
IXI,0.592,0.07199424046076314,0.7636666666666667,0.22902167826573872,3dino_rand
MS-60,0.9922222222222222,0.04319654427645788,0.49277777777777787,0.28957683385329175,3dino_rand
MSLesSeg,0.9410000000000003,0.07199424046076314,0.9363333333333332,0.28957683385329175,3dino_rand
NFBS,0.6400000000000001,0.029997600191984643,0.8248000000000002,0.5113990880729542,3dino_rand
NSK-GBM,0.26785714285714285,0.040316774658027354,0.5059523809523809,0.24400047996160307,3dino_rand
OASIS-1,0.8536666666666668,0.07199424046076314,0.9146666666666666,0.5113990880729542,3dino_rand
OASIS-2,0.753156146179402,0.07223422126229902,0.9073089700996678,0.5113990880729542,3dino_rand
UMF-PD,0.3804878048780488,0.019678425725941924,0.7951219512195122,0.5113990880729542,3dino_rand
UPENN-GBM,0.8723333333333335,0.07199424046076314,0.7263333333333334,0.24400047996160307,3dino_rand
3D-MR-MS,0.995,0.028797696184305256,0.8925000000000001,0.24400047996160307,3dino_z
BGSP,1.0,0.057835373170146386,1.0,0.5113990880729542,3dino_z
BraTS25-MEN,0.5053333333333333,0.07199424046076314,0.761,0.24400047996160307,3dino_z
BraTS25-MET,0.5476666666666667,0.07199424046076314,0.7893333333333333,0.24400047996160307,3dino_z
BraTS25-SSA,0.7110000000000001,0.07199424046076314,0.6886666666666668,0.24400047996160307,3dino_z
BrainMetShare,0.9559999999999998,0.07199424046076314,0.7083333333333334,0.33393328533717304,3dino_z
EPISURG,0.9740000000000002,0.07199424046076314,0.9926666666666667,0.5113990880729542,3dino_z
ISLES22,0.8208000000000001,0.059995200383969285,0.9272,0.2056635469162467,3dino_z
IXI,0.9943333333333332,0.07199424046076314,0.9903333333333334,0.22902167826573872,3dino_z
MS-60,1.0,0.04319654427645788,0.5872222222222222,0.28957683385329175,3dino_z
MSLesSeg,0.965,0.07199424046076314,0.9566666666666667,0.28957683385329175,3dino_z
NFBS,0.9792000000000002,0.029997600191984643,0.9840000000000001,0.5113990880729542,3dino_z
NSK-GBM,0.9982142857142856,0.040316774658027354,0.9589285714285714,0.24400047996160307,3dino_z
OASIS-1,0.996,0.07199424046076314,0.9979999999999999,0.5113990880729542,3dino_z
OASIS-2,0.9993355481727575,0.07223422126229902,0.9996677740863786,0.5113990880729542,3dino_z
UMF-PD,0.9926829268292684,0.019678425725941924,0.9987804878048782,0.5113990880729542,3dino_z
UPENN-GBM,0.9743333333333334,0.07199424046076314,0.9256666666666666,0.24400047996160307,3dino_z
3D-MR-MS,0.965,0.028797696184305256,0.7983333333333333,0.24400047996160307,untrained_pct
BGSP,0.9896265560165975,0.057835373170146386,0.9962655601659751,0.5113990880729542,untrained_pct
BraTS25-MEN,0.5403333333333333,0.07199424046076314,0.7926666666666667,0.24400047996160307,untrained_pct
BraTS25-MET,0.5103333333333334,0.07199424046076314,0.8193333333333334,0.24400047996160307,untrained_pct
BraTS25-SSA,0.7553333333333334,0.07199424046076314,0.672,0.24400047996160307,untrained_pct
BrainMetShare,0.9846666666666666,0.07199424046076314,0.7566666666666667,0.33393328533717304,untrained_pct
EPISURG,0.9566666666666667,0.07199424046076314,0.9836666666666667,0.5113990880729542,untrained_pct
ISLES22,0.8448,0.059995200383969285,0.9395999999999999,0.2056635469162467,untrained_pct
IXI,0.97,0.07199424046076314,0.9833333333333333,0.22902167826573872,untrained_pct
MS-60,0.9988888888888889,0.04319654427645788,0.6394444444444444,0.28957683385329175,untrained_pct
MSLesSeg,0.958,0.07199424046076314,0.9229999999999999,0.28957683385329175,untrained_pct
NFBS,0.9856,0.029997600191984643,0.9936000000000001,0.5113990880729542,untrained_pct
NSK-GBM,0.9619047619047618,0.040316774658027354,0.9642857142857143,0.24400047996160307,untrained_pct
OASIS-1,0.9873333333333335,0.07199424046076314,0.9920000000000001,0.5113990880729542,untrained_pct
OASIS-2,0.9740863787375417,0.07223422126229902,0.9897009966777408,0.5113990880729542,untrained_pct
UMF-PD,0.8682926829268293,0.019678425725941924,0.9365853658536585,0.5113990880729542,untrained_pct
UPENN-GBM,0.9486666666666668,0.07199424046076314,0.9123333333333333,0.24400047996160307,untrained_pct
3D-MR-MS,0.985,0.028797696184305256,0.8975000000000001,0.24400047996160307,medical_pct
BGSP,0.9970954356846473,0.057835373170146386,1.0,0.5113990880729542,medical_pct
BraTS25-MEN,0.5756666666666668,0.07199424046076314,0.8126666666666666,0.24400047996160307,medical_pct
BraTS25-MET,0.5306666666666667,0.07199424046076314,0.8356666666666667,0.24400047996160307,medical_pct
BraTS25-SSA,0.761,0.07199424046076314,0.6613333333333333,0.24400047996160307,medical_pct
BrainMetShare,0.9970000000000001,0.07199424046076314,0.7463333333333334,0.33393328533717304,medical_pct
EPISURG,0.9663333333333333,0.07199424046076314,0.9856666666666666,0.5113990880729542,medical_pct
ISLES22,0.8352,0.059995200383969285,0.9216,0.2056635469162467,medical_pct
IXI,0.9866666666666667,0.07199424046076314,0.9940000000000001,0.22902167826573872,medical_pct
MS-60,0.9988888888888889,0.04319654427645788,0.6544444444444444,0.28957683385329175,medical_pct
MSLesSeg,0.9653333333333334,0.07199424046076314,0.9356666666666669,0.28957683385329175,medical_pct
NFBS,0.9976,0.029997600191984643,0.9984,0.5113990880729542,medical_pct
NSK-GBM,0.9851190476190477,0.040316774658027354,0.980952380952381,0.24400047996160307,medical_pct
OASIS-1,0.9946666666666666,0.07199424046076314,0.9993333333333334,0.5113990880729542,medical_pct
OASIS-2,0.992358803986711,0.07223422126229902,0.9973421926910299,0.5113990880729542,medical_pct
UMF-PD,0.921951219512195,0.019678425725941924,0.9646341463414634,0.5113990880729542,medical_pct
UPENN-GBM,0.9726666666666667,0.07199424046076314,0.8743333333333334,0.24400047996160307,medical_pct
