dataset,n,bacc,representation,task,setting,mae,mae_mean_baseline,pearson_r
UMF-PD,82,,3dino,age,lodo,11.003165947860625,13.804784365947102,0.3623317758287775
UPENN-GBM,300,,3dino,age,lodo,13.564488089844081,11.930164848484852,0.2086771257342592
3D-MR-MS,120,,3dino,age,within,8.122623353371827,7.563888888888889,0.214814402454706
ISLES22,125,,3dino,age,within,7.444218382939967,10.76864,0.6732014595755367
IXI,294,,3dino,age,within,9.616625402878379,14.195356000238458,0.6436255050884664
MS-60,180,,3dino,age,within,10.31325702276999,10.461805555555555,0.1971180354366899
MSLesSeg,300,,3dino,age,within,7.328269249255795,7.8771675000000005,0.34496189022204815
NSK-GBM,168,,3dino,age,within,11.016038935873977,12.182539682539684,0.3207917090716875
OASIS-1,300,,3dino,age,within,8.770384015792272,23.3385,0.9105521222690517
OASIS-2,301,,3dino,age,within,5.277529507370839,6.227573052351548,0.5238721288513587
UMF-PD,82,,3dino,age,within,6.063791310783214,7.04965034965035,0.45287314755512775
UPENN-GBM,300,,3dino,age,within,8.25477887169164,9.259733333333333,0.46370410949411456
3D-MR-MS,120,0.5722049689440993,brainfm,sex,lodo,,,
ISLES22,144,0.5,brainfm,sex,lodo,,,
IXI,294,0.7298245614035088,brainfm,sex,lodo,,,
MS-60,177,0.5039018952062431,brainfm,sex,lodo,,,
MSLesSeg,300,0.4958333333333333,brainfm,sex,lodo,,,
NSK-GBM,168,0.6942219679633868,brainfm,sex,lodo,,,
OASIS-1,300,0.5837609970674487,brainfm,sex,lodo,,,
OASIS-2,301,0.854424421732114,brainfm,sex,lodo,,,
UMF-PD,82,0.7906698564593302,brainfm,sex,lodo,,,
UPENN-GBM,300,0.73125,brainfm,sex,lodo,,,
3D-MR-MS,120,0.6847826086956521,brainfm,sex,within,,,
ISLES22,144,0.775,brainfm,sex,within,,,
IXI,294,0.8543859649122807,brainfm,sex,within,,,
MS-60,177,0.7112597547380156,brainfm,sex,within,,,
MSLesSeg,300,0.6833333333333333,brainfm,sex,within,,,
NSK-GBM,168,0.7860411899313502,brainfm,sex,within,,,
OASIS-1,300,0.8601539589442815,brainfm,sex,within,,,
OASIS-2,301,0.8874394835933297,brainfm,sex,within,,,
UMF-PD,82,0.888755980861244,brainfm,sex,within,,,
UPENN-GBM,300,0.8687499999999999,brainfm,sex,within,,,
3D-MR-MS,120,,brainfm,age,lodo,28.97466306243908,16.442716097560975,0.09015764412304234
ISLES22,125,,brainfm,age,lodo,37.99356763987385,21.12385901222495,-0.10287289809596327
IXI,294,,brainfm,age,lodo,14.642964528720906,13.788053609503503,0.12086928590260863
MS-60,180,,brainfm,age,lodo,33.53538866178322,22.97570083752093,-0.049028703414255664
MSLesSeg,300,,brainfm,age,lodo,22.75370068861308,20.821301604278077,-0.00671744379705725
NSK-GBM,168,,brainfm,age,lodo,13.69954555171569,12.01483326197612,0.03162234602044264
OASIS-1,300,,brainfm,age,lodo,23.93821153063888,23.246006559714793,-0.01054687114853527
OASIS-2,301,,brainfm,age,lodo,42.978433793189794,27.83769731357398,0.23479991691613888
UMF-PD,82,,brainfm,age,lodo,18.945137364875436,13.804784365947102,0.19797116574810528
UPENN-GBM,300,,brainfm,age,lodo,11.507358356073075,11.930164848484852,0.041399762536491344
3D-MR-MS,120,,brainfm,age,within,9.397704007727349,7.563888888888889,0.1434975728240076
ISLES22,125,,brainfm,age,within,8.254298056020508,10.76864,0.6209160392001773
IXI,294,,brainfm,age,within,11.917486501046323,14.195356000238458,0.4181145509816166
MS-60,180,,brainfm,age,within,11.14505133413532,10.461805555555555,-0.044008369670042125
MSLesSeg,300,,brainfm,age,within,7.719513975738209,7.8771675000000005,0.25190810707832756
NSK-GBM,168,,brainfm,age,within,11.176593970140186,12.182539682539684,0.3946059102609656
OASIS-1,300,,brainfm,age,within,11.609853164098856,23.3385,0.8265251069915263
OASIS-2,301,,brainfm,age,within,5.752031220892083,6.227573052351548,0.3633052046307383
UMF-PD,82,,brainfm,age,within,6.262602980136475,7.04965034965035,0.4624801568044443
UPENN-GBM,300,,brainfm,age,within,8.899032777950909,9.259733333333333,0.2631470826395047
3D-MR-MS,120,0.5380434782608696,3dino_rand,sex,lodo,,,
ISLES22,144,0.5203125,3dino_rand,sex,lodo,,,
IXI,294,0.6282163742690059,3dino_rand,sex,lodo,,,
MS-60,177,0.4816053511705685,3dino_rand,sex,lodo,,,
MSLesSeg,300,0.5,3dino_rand,sex,lodo,,,
NSK-GBM,168,0.5778032036613272,3dino_rand,sex,lodo,,,
OASIS-1,300,0.4745234604105572,3dino_rand,sex,lodo,,,
OASIS-2,301,0.7480276134122288,3dino_rand,sex,lodo,,,
UMF-PD,82,0.7625598086124402,3dino_rand,sex,lodo,,,
UPENN-GBM,300,0.8116071428571429,3dino_rand,sex,lodo,,,
3D-MR-MS,120,0.5900621118012422,3dino_rand,sex,within,,,
ISLES22,144,0.709375,3dino_rand,sex,within,,,
IXI,294,0.7321637426900585,3dino_rand,sex,within,,,
MS-60,177,0.5543478260869565,3dino_rand,sex,within,,,
MSLesSeg,300,0.6027777777777779,3dino_rand,sex,within,,,
NSK-GBM,168,0.6089816933638443,3dino_rand,sex,within,,,
OASIS-1,300,0.722232404692082,3dino_rand,sex,within,,,
OASIS-2,301,0.8119284561592254,3dino_rand,sex,within,,,
UMF-PD,82,0.777511961722488,3dino_rand,sex,within,,,
UPENN-GBM,300,0.8794642857142857,3dino_rand,sex,within,,,
3D-MR-MS,120,,3dino_rand,age,lodo,17.36271633683564,16.442716097560975,0.007900783820998823
ISLES22,125,,3dino_rand,age,lodo,30.38443887960924,21.12385901222495,0.3142940853148973
IXI,294,,3dino_rand,age,lodo,18.053333495463832,13.788053609503503,0.04188376424735657
MS-60,180,,3dino_rand,age,lodo,13.866670937819622,22.97570083752093,-0.02350316282869656
MSLesSeg,300,,3dino_rand,age,lodo,22.77341986548052,20.821301604278077,0.1945305196069589
NSK-GBM,168,,3dino_rand,age,lodo,13.139174329997214,12.01483326197612,0.011330894497683403
OASIS-1,300,,3dino_rand,age,lodo,24.37128635271546,23.246006559714793,-0.10372620378901842
OASIS-2,301,,3dino_rand,age,lodo,20.105499187536882,27.83769731357398,-0.04339689078790851
UMF-PD,82,,3dino_rand,age,lodo,12.405202656304901,13.804784365947102,-0.0027476066180690817
UPENN-GBM,300,,3dino_rand,age,lodo,11.203716343889184,11.930164848484852,-0.0633508926637438
3D-MR-MS,120,,3dino_rand,age,within,9.017055045368144,7.563888888888889,0.05683884188623632
ISLES22,125,,3dino_rand,age,within,8.689802665651733,10.76864,0.5528418866590548
IXI,294,,3dino_rand,age,within,13.141173828717406,14.195356000238458,0.24183913029157578
MS-60,180,,3dino_rand,age,within,10.89174577674797,10.461805555555555,-0.25682342574211625
MSLesSeg,300,,3dino_rand,age,within,8.137925971378653,7.8771675000000005,0.17351215289290528
NSK-GBM,168,,3dino_rand,age,within,12.318508552358768,12.182539682539684,0.06119695693830392
OASIS-1,300,,3dino_rand,age,within,15.354496343840031,23.3385,0.6605523383192313
OASIS-2,301,,3dino_rand,age,within,6.45971649805103,6.227573052351548,0.017342436630476205
UMF-PD,82,,3dino_rand,age,within,7.02536058812446,7.04965034965035,0.18643435158474922
UPENN-GBM,300,,3dino_rand,age,within,10.214071316337243,9.259733333333333,0.06831022118745059
3D-MR-MS,120,0.5923913043478262,3dino_z,sex,lodo,,,
ISLES22,144,0.5453125,3dino_z,sex,lodo,,,
IXI,294,0.6869883040935673,3dino_z,sex,lodo,,,
MS-60,177,0.5629877369007804,3dino_z,sex,lodo,,,
MSLesSeg,300,0.5,3dino_z,sex,lodo,,,
NSK-GBM,168,0.5780892448512586,3dino_z,sex,lodo,,,
OASIS-1,300,0.6974890029325513,3dino_z,sex,lodo,,,
OASIS-2,301,0.60771920387305,3dino_z,sex,lodo,,,
UMF-PD,82,0.5,3dino_z,sex,lodo,,,
UPENN-GBM,300,0.7486607142857142,3dino_z,sex,lodo,,,
3D-MR-MS,120,0.7476708074534162,3dino_z,sex,within,,,
ISLES22,144,0.6640625,3dino_z,sex,within,,,
IXI,294,0.8364035087719298,3dino_z,sex,within,,,
MS-60,177,0.689520624303233,3dino_z,sex,within,,,
MSLesSeg,300,0.6527777777777778,3dino_z,sex,within,,,
NSK-GBM,168,0.6558924485125859,3dino_z,sex,within,,,
OASIS-1,300,0.8419171554252199,3dino_z,sex,within,,,
OASIS-2,301,0.8806930249237941,3dino_z,sex,within,,,
UMF-PD,82,0.8624401913875598,3dino_z,sex,within,,,
UPENN-GBM,300,0.8928571428571428,3dino_z,sex,within,,,
3D-MR-MS,120,,3dino_z,age,lodo,23.968478735654873,16.442716097560975,0.0222320890451581
ISLES22,125,,3dino_z,age,lodo,28.92328903332618,21.12385901222495,0.37681787361326874
IXI,294,,3dino_z,age,lodo,14.54260518476118,13.788053609503503,0.35475527594191464
MS-60,180,,3dino_z,age,lodo,22.12279117436474,22.97570083752093,0.021090327968779368
MSLesSeg,300,,3dino_z,age,lodo,23.485876217394306,20.821301604278077,0.3276191580014526
NSK-GBM,168,,3dino_z,age,lodo,17.78491686057088,12.01483326197612,0.3569973664373266
OASIS-1,300,,3dino_z,age,lodo,22.150430425850317,23.246006559714793,0.2885832248385948
OASIS-2,301,,3dino_z,age,lodo,7.621651304117467,27.83769731357398,0.18904580226639084
UMF-PD,82,,3dino_z,age,lodo,15.645369100889905,13.804784365947102,0.4080046899925201
UPENN-GBM,300,,3dino_z,age,lodo,10.818550704477557,11.930164848484852,0.13816894237703653
3D-MR-MS,120,,3dino_z,age,within,8.611742631150642,7.563888888888889,0.09231644998743724
ISLES22,125,,3dino_z,age,within,7.57779972461448,10.76864,0.6493324351495368
IXI,294,,3dino_z,age,within,9.744310099730312,14.195356000238458,0.6189737353727648
MS-60,180,,3dino_z,age,within,10.390438007874602,10.461805555555555,0.13342940475051074
MSLesSeg,300,,3dino_z,age,within,7.28155436921608,7.8771675000000005,0.3437054986136644
NSK-GBM,168,,3dino_z,age,within,10.427266559236248,12.182539682539684,0.4200879287449951
OASIS-1,300,,3dino_z,age,within,10.345999155835004,23.3385,0.8731272859253619
OASIS-2,301,,3dino_z,age,within,5.27895914137045,6.227573052351548,0.5268892489349466
UMF-PD,82,,3dino_z,age,within,6.3086838718884355,7.04965034965035,0.37176796599939677
UPENN-GBM,300,,3dino_z,age,within,8.538218516855316,9.259733333333333,0.3333921977187575
3D-MR-MS,120,0.5194099378881988,untrained_pct,sex,lodo,,,
ISLES22,144,0.534375,untrained_pct,sex,lodo,,,
IXI,294,0.7013157894736842,untrained_pct,sex,lodo,,,
MS-60,177,0.5487736900780379,untrained_pct,sex,lodo,,,
MSLesSeg,300,0.5180555555555556,untrained_pct,sex,lodo,,,
