dataset,dataset_purity,dataset_chance,modality_purity,modality_chance,representation
IXI,0.949,0.07199424046076314,0.9676666666666667,0.22902167826573872,R2
MS-60,0.9988888888888889,0.04319654427645788,0.6227777777777778,0.28957683385329175,R2
MSLesSeg,0.9736666666666668,0.07199424046076314,0.9283333333333333,0.28957683385329175,R2
NFBS,0.9992000000000001,0.029997600191984643,0.9992000000000001,0.5113990880729542,R2
NSK-GBM,0.9535714285714285,0.040316774658027354,0.9642857142857143,0.24400047996160307,R2
OASIS-1,0.9876666666666665,0.07199424046076314,0.9929999999999999,0.5113990880729542,R2
OASIS-2,0.950498338870432,0.07223422126229902,0.9724252491694352,0.5113990880729542,R2
UMF-PD,0.9390243902439024,0.019678425725941924,0.9804878048780487,0.5113990880729542,R2
UPENN-GBM,0.9536666666666666,0.07199424046076314,0.8843333333333334,0.24400047996160307,R2
3D-MR-MS,0.9908333333333333,0.028797696184305256,0.8475000000000001,0.24400047996160307,R3
BGSP,0.9979253112033195,0.057835373170146386,1.0,0.5113990880729542,R3
BraTS25-MEN,0.6266666666666667,0.07199424046076314,0.6643333333333333,0.24400047996160307,R3
BraTS25-MET,0.49900000000000005,0.07199424046076314,0.6196666666666667,0.24400047996160307,R3
BraTS25-SSA,0.6223333333333333,0.07199424046076314,0.6643333333333333,0.24400047996160307,R3
BrainMetShare,0.9710000000000001,0.07199424046076314,0.6910000000000001,0.33393328533717304,R3
EPISURG,0.935,0.07199424046076314,0.9766666666666667,0.5113990880729542,R3
ISLES22,0.7344,0.059995200383969285,0.8415999999999999,0.2056635469162467,R3
IXI,0.9736666666666668,0.07199424046076314,0.9816666666666667,0.22902167826573872,R3
MS-60,0.9955555555555555,0.04319654427645788,0.548888888888889,0.28957683385329175,R3
MSLesSeg,0.9596666666666668,0.07199424046076314,0.8673333333333333,0.28957683385329175,R3
NFBS,0.9280000000000002,0.029997600191984643,0.9352,0.5113990880729542,R3
NSK-GBM,0.9958333333333332,0.040316774658027354,0.9827380952380954,0.24400047996160307,R3
OASIS-1,0.9963333333333333,0.07199424046076314,0.9986666666666667,0.5113990880729542,R3
OASIS-2,0.9926910299003323,0.07223422126229902,0.998671096345515,0.5113990880729542,R3
UMF-PD,0.9182926829268292,0.019678425725941924,0.9475609756097562,0.5113990880729542,R3
UPENN-GBM,0.9723333333333335,0.07199424046076314,0.8733333333333333,0.24400047996160307,R3
3D-MR-MS,0.9866666666666667,0.028797696184305256,0.8516666666666668,0.24400047996160307,R4
BGSP,0.9892116182572614,0.057835373170146386,0.9995850622406639,0.5113990880729542,R4
BraTS25-MEN,0.633,0.07199424046076314,0.7433333333333333,0.24400047996160307,R4
BraTS25-MET,0.4903333333333333,0.07199424046076314,0.7756666666666666,0.24400047996160307,R4
BraTS25-SSA,0.6606666666666666,0.07199424046076314,0.6566666666666666,0.24400047996160307,R4
BrainMetShare,0.9916666666666667,0.07199424046076314,0.7783333333333334,0.33393328533717304,R4
EPISURG,0.9073333333333334,0.07199424046076314,0.9646666666666668,0.5113990880729542,R4
ISLES22,0.886,0.059995200383969285,0.9624000000000001,0.2056635469162467,R4
IXI,0.8403333333333334,0.07199424046076314,0.8876666666666667,0.22902167826573872,R4
MS-60,0.9983333333333333,0.04319654427645788,0.6472222222222223,0.28957683385329175,R4
MSLesSeg,0.965,0.07199424046076314,0.9493333333333331,0.28957683385329175,R4
NFBS,1.0,0.029997600191984643,1.0,0.5113990880729542,R4
NSK-GBM,0.9232142857142857,0.040316774658027354,0.8166666666666668,0.24400047996160307,R4
OASIS-1,0.9993333333333334,0.07199424046076314,0.9993333333333334,0.5113990880729542,R4
OASIS-2,0.966112956810631,0.07223422126229902,0.9880398671096347,0.5113990880729542,R4
UMF-PD,0.876829268292683,0.019678425725941924,0.9536585365853659,0.5113990880729542,R4
UPENN-GBM,0.7703333333333334,0.07199424046076314,0.7246666666666667,0.24400047996160307,R4
