representation,dataset_a,dataset_b,distance
handcrafted,NSK-GBM,NFBS,1.91944668201727
handcrafted,NSK-GBM,NSK-GBM,0.0
handcrafted,NSK-GBM,OASIS-1,1.8404489561343318
handcrafted,NSK-GBM,OASIS-2,1.8912814362874386
handcrafted,NSK-GBM,UMF-PD,1.920006031149196
handcrafted,NSK-GBM,UPENN-GBM,1.8835224241884867
handcrafted,OASIS-1,3D-MR-MS,1.605056003084962
handcrafted,OASIS-1,BGSP,0.7881965865064369
handcrafted,OASIS-1,BraTS25-MEN,0.5765735969951918
handcrafted,OASIS-1,BraTS25-MET,0.6932628757602329
handcrafted,OASIS-1,BraTS25-SSA,0.4544622785511091
handcrafted,OASIS-1,BrainMetShare,0.4504466185303979
handcrafted,OASIS-1,EPISURG,0.45826732156743055
handcrafted,OASIS-1,ISLES22,1.2077026047539867
handcrafted,OASIS-1,IXI,0.6480054867827059
handcrafted,OASIS-1,MS-60,0.6866331760385606
handcrafted,OASIS-1,MSLesSeg,0.421387014871731
handcrafted,OASIS-1,NFBS,0.49935759307259464
handcrafted,OASIS-1,NSK-GBM,1.8404489561343318
handcrafted,OASIS-1,OASIS-1,0.0
handcrafted,OASIS-1,OASIS-2,0.6706675411644972
handcrafted,OASIS-1,UMF-PD,0.42435539906362774
handcrafted,OASIS-1,UPENN-GBM,0.6525367427734192
handcrafted,OASIS-2,3D-MR-MS,1.7218432277881872
handcrafted,OASIS-2,BGSP,0.6279022213075297
handcrafted,OASIS-2,BraTS25-MEN,0.959207711784328
handcrafted,OASIS-2,BraTS25-MET,1.0739585149623283
handcrafted,OASIS-2,BraTS25-SSA,0.9379254870450742
handcrafted,OASIS-2,BrainMetShare,0.9141733396385576
handcrafted,OASIS-2,EPISURG,0.4489531269850929
handcrafted,OASIS-2,ISLES22,1.525951290010055
handcrafted,OASIS-2,IXI,0.5198146889187999
handcrafted,OASIS-2,MS-60,0.91883046764223
handcrafted,OASIS-2,MSLesSeg,0.886357457317127
handcrafted,OASIS-2,NFBS,1.1292329518072293
handcrafted,OASIS-2,NSK-GBM,1.8912814362874386
handcrafted,OASIS-2,OASIS-1,0.6706675411644972
handcrafted,OASIS-2,OASIS-2,0.0
handcrafted,OASIS-2,UMF-PD,0.7515209031159239
handcrafted,OASIS-2,UPENN-GBM,0.4380151649672806
handcrafted,UMF-PD,3D-MR-MS,1.5558964057167326
handcrafted,UMF-PD,BGSP,0.6755969782565818
handcrafted,UMF-PD,BraTS25-MEN,0.6497053640514335
handcrafted,UMF-PD,BraTS25-MET,0.8497277428962208
handcrafted,UMF-PD,BraTS25-SSA,0.49171288948373065
handcrafted,UMF-PD,BrainMetShare,0.5091637920191122
handcrafted,UMF-PD,EPISURG,0.4560708135473726
handcrafted,UMF-PD,ISLES22,1.3481931500799818
handcrafted,UMF-PD,IXI,0.6212409706411469
handcrafted,UMF-PD,MS-60,0.9423387471990531
handcrafted,UMF-PD,MSLesSeg,0.3517444907200205
handcrafted,UMF-PD,NFBS,0.6241614763791566
handcrafted,UMF-PD,NSK-GBM,1.920006031149196
handcrafted,UMF-PD,OASIS-1,0.42435539906362774
handcrafted,UMF-PD,OASIS-2,0.7515209031159239
handcrafted,UMF-PD,UMF-PD,0.0
handcrafted,UMF-PD,UPENN-GBM,0.5985041175366526
handcrafted,UPENN-GBM,3D-MR-MS,1.6495668000990722
handcrafted,UPENN-GBM,BGSP,0.5658151353840835
handcrafted,UPENN-GBM,BraTS25-MEN,0.8486961283752888
handcrafted,UPENN-GBM,BraTS25-MET,0.9885234534365239
handcrafted,UPENN-GBM,BraTS25-SSA,0.795290055403533
handcrafted,UPENN-GBM,BrainMetShare,0.7608939942428431
handcrafted,UPENN-GBM,EPISURG,0.2650160461459631
handcrafted,UPENN-GBM,ISLES22,1.4989462854632432
handcrafted,UPENN-GBM,IXI,0.28194846051239025
handcrafted,UPENN-GBM,MS-60,0.7932376358603113
handcrafted,UPENN-GBM,MSLesSeg,0.7472691342776377
handcrafted,UPENN-GBM,NFBS,1.041563254593366
handcrafted,UPENN-GBM,NSK-GBM,1.8835224241884867
handcrafted,UPENN-GBM,OASIS-1,0.6525367427734192
handcrafted,UPENN-GBM,OASIS-2,0.4380151649672806
handcrafted,UPENN-GBM,UMF-PD,0.5985041175366526
handcrafted,UPENN-GBM,UPENN-GBM,0.0
untrained,3D-MR-MS,3D-MR-MS,0.0
untrained,3D-MR-MS,BGSP,0.6901106525638666
untrained,3D-MR-MS,BraTS25-MEN,0.6020510231261433
untrained,3D-MR-MS,BraTS25-MET,0.5614199839675066
untrained,3D-MR-MS,BraTS25-SSA,0.6158632812732819
untrained,3D-MR-MS,BrainMetShare,0.6567136423814055
untrained,3D-MR-MS,EPISURG,0.6398538570088014
untrained,3D-MR-MS,ISLES22,0.6088027889508817
untrained,3D-MR-MS,IXI,0.651187937760505
untrained,3D-MR-MS,MS-60,0.7301050870060243
untrained,3D-MR-MS,MSLesSeg,0.6635620728986993
untrained,3D-MR-MS,NFBS,0.6994541521318671
