source,target,accuracy,representation
3D-MR-MS,NSK-GBM,0.39285714285714285,untrained
3D-MR-MS,OASIS-1,0.36333333333333334,untrained
3D-MR-MS,OASIS-2,0.0,untrained
3D-MR-MS,UMF-PD,0.9024390243902439,untrained
3D-MR-MS,UPENN-GBM,0.26,untrained
BraTS25-MEN,3D-MR-MS,0.5,untrained
BraTS25-MEN,BGSP,0.0,untrained
BraTS25-MEN,BraTS25-MEN,0.9966666666666667,untrained
BraTS25-MEN,BraTS25-MET,0.8933333333333333,untrained
BraTS25-MEN,BraTS25-SSA,0.62,untrained
BraTS25-MEN,BrainMetShare,0.4,untrained
BraTS25-MEN,EPISURG,0.0,untrained
BraTS25-MEN,ISLES22,0.724,untrained
BraTS25-MEN,IXI,0.085,untrained
BraTS25-MEN,MS-60,0.10555555555555556,untrained
BraTS25-MEN,MSLesSeg,0.5433333333333333,untrained
BraTS25-MEN,NFBS,0.056,untrained
BraTS25-MEN,NSK-GBM,0.2857142857142857,untrained
BraTS25-MEN,OASIS-1,0.0,untrained
BraTS25-MEN,OASIS-2,0.0,untrained
BraTS25-MEN,UMF-PD,0.0,untrained
BraTS25-MEN,UPENN-GBM,0.24333333333333335,untrained
BraTS25-MET,3D-MR-MS,0.35833333333333334,untrained
BraTS25-MET,BGSP,0.0,untrained
BraTS25-MET,BraTS25-MEN,0.8533333333333334,untrained
BraTS25-MET,BraTS25-MET,1.0,untrained
BraTS25-MET,BraTS25-SSA,0.6233333333333333,untrained
BraTS25-MET,BrainMetShare,0.42,untrained
BraTS25-MET,EPISURG,0.0,untrained
BraTS25-MET,ISLES22,0.612,untrained
BraTS25-MET,IXI,0.0,untrained
BraTS25-MET,MS-60,0.11666666666666667,untrained
BraTS25-MET,MSLesSeg,0.6366666666666667,untrained
BraTS25-MET,NFBS,1.0,untrained
BraTS25-MET,NSK-GBM,0.25,untrained
BraTS25-MET,OASIS-1,0.0,untrained
BraTS25-MET,OASIS-2,0.0,untrained
BraTS25-MET,UMF-PD,0.0,untrained
BraTS25-MET,UPENN-GBM,0.25,untrained
BraTS25-SSA,3D-MR-MS,0.25,untrained
BraTS25-SSA,BGSP,0.0,untrained
BraTS25-SSA,BraTS25-MEN,0.5566666666666666,untrained
BraTS25-SSA,BraTS25-MET,0.53,untrained
BraTS25-SSA,BraTS25-SSA,1.0,untrained
BraTS25-SSA,BrainMetShare,0.07,untrained
BraTS25-SSA,EPISURG,0.0,untrained
BraTS25-SSA,ISLES22,0.332,untrained
BraTS25-SSA,IXI,0.5,untrained
BraTS25-SSA,MS-60,0.2722222222222222,untrained
BraTS25-SSA,MSLesSeg,0.5233333333333333,untrained
BraTS25-SSA,NFBS,0.0,untrained
BraTS25-SSA,NSK-GBM,0.25,untrained
BraTS25-SSA,OASIS-1,0.0,untrained
BraTS25-SSA,OASIS-2,0.0,untrained
BraTS25-SSA,UMF-PD,0.0,untrained
BraTS25-SSA,UPENN-GBM,0.25,untrained
BrainMetShare,3D-MR-MS,0.24166666666666667,untrained
BrainMetShare,BGSP,0.0,untrained
BrainMetShare,BraTS25-MEN,0.2633333333333333,untrained
BrainMetShare,BraTS25-MET,0.29,untrained
BrainMetShare,BraTS25-SSA,0.27,untrained
BrainMetShare,BrainMetShare,1.0,untrained
BrainMetShare,EPISURG,0.0,untrained
BrainMetShare,ISLES22,0.088,untrained
BrainMetShare,IXI,0.0,untrained
BrainMetShare,MS-60,0.31666666666666665,untrained
BrainMetShare,MSLesSeg,0.13333333333333333,untrained
BrainMetShare,NFBS,0.992,untrained
BrainMetShare,NSK-GBM,0.08928571428571429,untrained
BrainMetShare,OASIS-1,0.01,untrained
BrainMetShare,OASIS-2,0.0,untrained
BrainMetShare,UMF-PD,0.0,untrained
BrainMetShare,UPENN-GBM,0.37,untrained
MS-60,3D-MR-MS,0.25,untrained
MS-60,BGSP,0.0,untrained
MS-60,BraTS25-MEN,0.25,untrained
MS-60,BraTS25-MET,0.25333333333333335,untrained
MS-60,BraTS25-SSA,0.26,untrained
MS-60,BrainMetShare,0.5066666666666667,untrained
MS-60,EPISURG,0.0,untrained
MS-60,ISLES22,0.592,untrained
MS-60,IXI,0.0,untrained
MS-60,MS-60,1.0,untrained
MS-60,MSLesSeg,0.24,untrained
MS-60,NFBS,0.528,untrained
MS-60,NSK-GBM,0.25,untrained
MS-60,OASIS-1,0.0,untrained
MS-60,OASIS-2,0.0,untrained
MS-60,UMF-PD,0.0,untrained
MS-60,UPENN-GBM,0.25,untrained
MSLesSeg,3D-MR-MS,0.25,untrained
MSLesSeg,BGSP,0.9087136929460581,untrained
MSLesSeg,BraTS25-MEN,0.38333333333333336,untrained
MSLesSeg,BraTS25-MET,0.38666666666666666,untrained
MSLesSeg,BraTS25-SSA,0.33,untrained
MSLesSeg,BrainMetShare,0.4633333333333333,untrained
MSLesSeg,EPISURG,0.4066666666666667,untrained
MSLesSeg,ISLES22,0.372,untrained
MSLesSeg,IXI,0.71,untrained
MSLesSeg,MS-60,0.3388888888888889,untrained
MSLesSeg,MSLesSeg,1.0,untrained
MSLesSeg,NFBS,1.0,untrained
MSLesSeg,NSK-GBM,0.17857142857142858,untrained
MSLesSeg,OASIS-1,0.0033333333333333335,untrained
MSLesSeg,OASIS-2,0.2857142857142857,untrained
MSLesSeg,UMF-PD,0.5609756097560976,untrained
MSLesSeg,UPENN-GBM,0.24,untrained
NSK-GBM,3D-MR-MS,0.2916666666666667,untrained
NSK-GBM,BGSP,0.0,untrained
NSK-GBM,BraTS25-MEN,0.25333333333333335,untrained
NSK-GBM,BraTS25-MET,0.25,untrained
NSK-GBM,BraTS25-SSA,0.25,untrained
NSK-GBM,BrainMetShare,0.24666666666666667,untrained
NSK-GBM,EPISURG,0.17,untrained
NSK-GBM,ISLES22,0.98,untrained
NSK-GBM,IXI,0.44,untrained
NSK-GBM,MS-60,0.2222222222222222,untrained
NSK-GBM,MSLesSeg,0.36,untrained
NSK-GBM,NFBS,0.0,untrained
NSK-GBM,NSK-GBM,1.0,untrained
