representation,task,setting,dataset,n,bacc,mae,mae_mean_baseline,pearson_r
handcrafted,age,within,ISLES22,125,,6.739202530038799,10.76864,0.7340815276860224
handcrafted,age,within,IXI,294,,12.399385146853744,14.195356000238458,0.34203983002902133
handcrafted,age,within,MS-60,180,,11.089356923353597,10.461805555555555,0.08090300621570753
handcrafted,age,within,MSLesSeg,300,,7.844491994084974,7.8771675000000005,0.20772855106354654
handcrafted,age,within,NSK-GBM,168,,11.314264904881487,12.182539682539684,0.30250203083027516
handcrafted,age,within,OASIS-1,300,,11.634244884109393,23.3385,0.8151502829616805
handcrafted,age,within,OASIS-2,301,,6.12534457022878,6.227573052351548,0.18916894984096622
handcrafted,age,within,UMF-PD,82,,6.620607573319134,7.04965034965035,0.3999577106495123
handcrafted,age,within,UPENN-GBM,300,,9.007742642686477,9.259733333333333,0.2575317275370287
untrained,sex,lodo,3D-MR-MS,120,0.6211180124223603,,,
untrained,sex,lodo,ISLES22,144,0.590625,,,
untrained,sex,lodo,IXI,294,0.7885964912280702,,,
untrained,sex,lodo,MS-60,177,0.5755295429208473,,,
untrained,sex,lodo,MSLesSeg,300,0.49722222222222223,,,
untrained,sex,lodo,NSK-GBM,168,0.568649885583524,,,
untrained,sex,lodo,OASIS-1,300,0.6403042521994134,,,
untrained,sex,lodo,OASIS-2,301,0.7801909628832706,,,
untrained,sex,lodo,UMF-PD,82,0.7410287081339713,,,
untrained,sex,lodo,UPENN-GBM,300,0.6401785714285715,,,
untrained,sex,within,3D-MR-MS,120,0.6956521739130435,,,
untrained,sex,within,ISLES22,144,0.75625,,,
untrained,sex,within,IXI,294,0.889327485380117,,,
untrained,sex,within,MS-60,177,0.6842251950947603,,,
untrained,sex,within,MSLesSeg,300,0.6236111111111111,,,
untrained,sex,within,NSK-GBM,168,0.7651601830663615,,,
untrained,sex,within,OASIS-1,300,0.8585043988269795,,,
untrained,sex,within,OASIS-2,301,0.9173838981531289,,,
untrained,sex,within,UMF-PD,82,0.950956937799043,,,
untrained,sex,within,UPENN-GBM,300,0.8392857142857143,,,
untrained,age,lodo,3D-MR-MS,120,,24.64561181168083,16.442716097560975,0.10107872860174186
untrained,age,lodo,ISLES22,125,,36.35929105574023,21.12385901222495,0.3747615452518535
untrained,age,lodo,IXI,294,,15.016804185616156,13.788053609503503,0.23543794304243693
untrained,age,lodo,MS-60,180,,17.175443347393507,22.97570083752093,-0.09723170445040291
untrained,age,lodo,MSLesSeg,300,,19.242343851753358,20.821301604278077,0.11711665751935749
untrained,age,lodo,NSK-GBM,168,,12.853293812450643,12.01483326197612,0.20592030433791686
untrained,age,lodo,OASIS-1,300,,22.717720545875345,23.246006559714793,0.16510935343287808
untrained,age,lodo,OASIS-2,301,,16.812905260685216,27.83769731357398,0.20386994554898136
untrained,age,lodo,UMF-PD,82,,19.90133697016079,13.804784365947102,0.40181317981249076
untrained,age,lodo,UPENN-GBM,300,,12.414039357548624,11.930164848484852,0.17928770755352308
untrained,age,within,3D-MR-MS,120,,9.513893377963862,7.563888888888889,0.11047736324111027
untrained,age,within,ISLES22,125,,7.6808353597561965,10.76864,0.6672965478695261
untrained,age,within,IXI,294,,11.5151783657991,14.195356000238458,0.4601278973065874
untrained,age,within,MS-60,180,,11.394194110767359,10.461805555555555,-0.12883186306166927
untrained,age,within,MSLesSeg,300,,7.942622662088388,7.8771675000000005,0.31475950295274524
untrained,age,within,NSK-GBM,168,,11.652674886143473,12.182539682539684,0.3094715392519316
untrained,age,within,OASIS-1,300,,10.080742598759322,23.3385,0.8589277187119242
untrained,age,within,OASIS-2,301,,4.870946835547631,6.227573052351548,0.6071136595387229
untrained,age,within,UMF-PD,82,,6.074776919120412,7.04965034965035,0.5034969365078481
untrained,age,within,UPENN-GBM,300,,8.826636921506287,9.259733333333333,0.36470732387339855
medical,sex,lodo,3D-MR-MS,120,0.5271739130434783,,,
medical,sex,lodo,ISLES22,144,0.528125,,,
medical,sex,lodo,IXI,294,0.8043859649122806,,,
medical,sex,lodo,MS-60,177,0.5693979933110368,,,
medical,sex,lodo,MSLesSeg,300,0.5347222222222222,,,
medical,sex,lodo,NSK-GBM,168,0.6556064073226544,,,
medical,sex,lodo,OASIS-1,300,0.5186950146627566,,,
medical,sex,lodo,OASIS-2,301,0.5857988165680473,,,
medical,sex,lodo,UMF-PD,82,0.8809808612440191,,,
medical,sex,lodo,UPENN-GBM,300,0.8553571428571429,,,
medical,sex,within,3D-MR-MS,120,0.8027950310559007,,,
medical,sex,within,ISLES22,144,0.79375,,,
medical,sex,within,IXI,294,0.862719298245614,,,
medical,sex,within,MS-60,177,0.600613154960981,,,
medical,sex,within,MSLesSeg,300,0.6125,,,
medical,sex,within,NSK-GBM,168,0.8034897025171626,,,
medical,sex,within,OASIS-1,300,0.8653775659824048,,,
medical,sex,within,OASIS-2,301,0.9308768154922,,,
medical,sex,within,UMF-PD,82,0.8791866028708134,,,
medical,sex,within,UPENN-GBM,300,0.9116071428571428,,,
medical,age,lodo,3D-MR-MS,120,,24.32449206345099,16.442716097560975,-0.10017338358275989
medical,age,lodo,ISLES22,125,,34.25665398489902,21.12385901222495,0.6911866897367565
medical,age,lodo,IXI,294,,15.741246408651172,13.788053609503503,0.29064248159754963
medical,age,lodo,MS-60,180,,48.116458760084626,22.97570083752093,-0.10220048183176096
medical,age,lodo,MSLesSeg,300,,24.18310596255204,20.821301604278077,0.20499966162813407
medical,age,lodo,NSK-GBM,168,,13.10913067298787,12.01483326197612,0.2038443965884804
medical,age,lodo,OASIS-1,300,,21.37070927334987,23.246006559714793,0.4476239596149336
medical,age,lodo,OASIS-2,301,,15.564722568752892,27.83769731357398,0.1748082457592708
medical,age,lodo,UMF-PD,82,,20.69622836257712,13.804784365947102,0.33647300823040904
medical,age,lodo,UPENN-GBM,300,,11.050511469287796,11.930164848484852,0.21230134935703987
medical,age,within,3D-MR-MS,120,,9.478154490596433,7.563888888888889,0.2374304604696005
medical,age,within,ISLES22,125,,7.010996094131301,10.76864,0.7025606547390966
medical,age,within,IXI,294,,11.576120866169605,14.195356000238458,0.44756475505109666
medical,age,within,MS-60,180,,10.999974860805422,10.461805555555555,-0.1491747531706052
medical,age,within,MSLesSeg,300,,7.323317049613153,7.8771675000000005,0.3990238637074006
medical,age,within,NSK-GBM,168,,11.209378094133566,12.182539682539684,0.3860886953527465
medical,age,within,OASIS-1,300,,9.64142607335723,23.3385,0.8759589103663673
medical,age,within,OASIS-2,301,,5.169957643542178,6.227573052351548,0.5351428803804564
medical,age,within,UMF-PD,82,,5.101495352216456,7.04965034965035,0.6754422160226935
medical,age,within,UPENN-GBM,300,,9.004612613864461,9.259733333333333,0.26308411529795694
selfsup,sex,lodo,3D-MR-MS,120,0.5419254658385093,,,
selfsup,sex,lodo,ISLES22,144,0.515625,,,
selfsup,sex,lodo,IXI,294,0.6615497076023392,,,
selfsup,sex,lodo,MS-60,177,0.5785953177257526,,,
selfsup,sex,lodo,MSLesSeg,300,0.5805555555555555,,,
selfsup,sex,lodo,NSK-GBM,168,0.6172768878718535,,,
selfsup,sex,lodo,OASIS-1,300,0.48597873900293254,,,
selfsup,sex,lodo,OASIS-2,301,0.6906490944952484,,,
selfsup,sex,lodo,UMF-PD,82,0.6572966507177034,,,
selfsup,sex,lodo,UPENN-GBM,300,0.6495535714285714,,,
selfsup,sex,within,3D-MR-MS,120,0.7437888198757764,,,
selfsup,sex,within,ISLES22,144,0.703125,,,
selfsup,sex,within,IXI,294,0.7125730994152046,,,
selfsup,sex,within,MS-60,177,0.6769788182831661,,,
selfsup,sex,within,MSLesSeg,300,0.6055555555555556,,,
selfsup,sex,within,NSK-GBM,168,0.7542906178489702,,,
selfsup,sex,within,OASIS-1,300,0.8532807917888563,,,
selfsup,sex,within,OASIS-2,301,0.8912273623812086,,,
selfsup,sex,within,UMF-PD,82,0.777511961722488,,,
selfsup,sex,within,UPENN-GBM,300,0.73125,,,
selfsup,age,lodo,3D-MR-MS,120,,19.267640594841495,16.442716097560975,0.017632579026644418
selfsup,age,lodo,ISLES22,125,,38.817404250758656,21.12385901222495,0.3908659305159592
selfsup,age,lodo,IXI,294,,20.217550639458917,13.788053609503503,0.2847288541780202
selfsup,age,lodo,MS-60,180,,32.45427607582939,22.97570083752093,-0.03708436445532812
selfsup,age,lodo,MSLesSeg,300,,24.827040806758397,20.821301604278077,-0.2522509135214535
selfsup,age,lodo,NSK-GBM,168,,13.472127988003232,12.01483326197612,0.158984205927482
selfsup,age,lodo,OASIS-1,300,,24.071810679291467,23.246006559714793,-0.025096261373385782
selfsup,age,lodo,OASIS-2,301,,18.950551608528016,27.83769731357398,0.09034791275463468
selfsup,age,lodo,UMF-PD,82,,12.048117818144975,13.804784365947102,0.20225909114378973
selfsup,age,lodo,UPENN-GBM,300,,16.319910779274974,11.930164848484852,-0.00843137072705252
selfsup,age,within,3D-MR-MS,120,,8.917269497273548,7.563888888888889,0.043602389585925536
selfsup,age,within,ISLES22,125,,6.818168031758604,10.76864,0.7472901304628559
selfsup,age,within,IXI,294,,11.963454084712561,14.195356000238458,0.3898637825740414
selfsup,age,within,MS-60,180,,10.36127149117824,10.461805555555555,0.10303828252839962
selfsup,age,within,MSLesSeg,300,,7.5879456199944295,7.8771675000000005,0.31335486700369886
selfsup,age,within,NSK-GBM,168,,10.660648241673456,12.182539682539684,0.4786604471265135
selfsup,age,within,OASIS-1,300,,10.081225135450262,23.3385,0.8615165076034403
selfsup,age,within,OASIS-2,301,,5.647902444932327,6.227573052351548,0.3780973919437553
selfsup,age,within,UMF-PD,82,,5.094185836991447,7.04965034965035,0.6888429666343345
selfsup,age,within,UPENN-GBM,300,,8.909772549234855,9.259733333333333,0.3085056346063551
